X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.00028928,0.0969698,,0.00028928,1.46792
0.00029028,0.0968144,,0.00029028,1.46644
0.00029128,0.0966552,,0.00029128,1.46492
0.00029228,0.0964921,,0.00029228,1.46336
0.00029328,0.0963253,,0.00029328,1.46176
0.00029428,0.0961546,,0.00029428,1.46012
0.00029528,0.0959801,,0.00029528,1.45844
0.00029628,0.0958019,,0.00029628,1.45672
0.00029728,0.0956199,,0.00029728,1.45496
0.00029828,0.095434,,0.00029828,1.45316
0.00029928,0.0952445,,0.00029928,1.45132
0.00030028,0.0950511,,0.00030028,1.44943
0.00030128,0.0948541,,0.00030128,1.44751
0.00030228,0.0946532,,0.00030228,1.44555
0.00030328,0.0944487,,0.00030328,1.44354
0.00030428,0.0942404,,0.00030428,1.44149
0.00030528,0.0940283,,0.00030528,1.4394
0.00030628,0.0938126,,0.00030628,1.43727
0.00030728,0.0935932,,0.00030728,1.4351
0.00030828,0.09337,,0.00030828,1.43288
0.00030928,0.0931432,,0.00030928,1.43062
0.00031028,0.0929127,,0.00031028,1.42832
0.00031128,0.0926786,,0.00031128,1.42597
0.00031228,0.0924408,,0.00031228,1.42358
0.00031328,0.0921993,,0.00031328,1.42115
0.00031428,0.0919542,,0.00031428,1.41868
0.00031528,0.0917055,,0.00031528,1.41616
0.00031628,0.0914531,,0.00031628,1.41359
0.00031728,0.0911971,,0.00031728,1.41099
0.00031828,0.0909376,,0.00031828,1.40833
0.00031928,0.0906744,,0.00031928,1.40564
0.00032028,0.0904077,,0.00032028,1.4029
0.00032128,0.0901374,,0.00032128,1.40011
0.00032228,0.0898635,,0.00032228,1.39728
0.00032328,0.0895861,,0.00032328,1.3944
0.00032428,0.0893051,,0.00032428,1.39147
0.00032528,0.0890206,,0.00032528,1.3885
0.00032628,0.0887327,,0.00032628,1.38549
0.00032728,0.0884412,,0.00032728,1.38242
0.00032828,0.0881462,,0.00032828,1.37931
0.00032928,0.0878477,,0.00032928,1.37616
0.00033028,0.0875458,,0.00033028,1.37295
0.00033128,0.0872404,,0.00033128,1.3697
0.00033228,0.0869316,,0.00033228,1.3664
0.00033328,0.0866193,,0.00033328,1.36305
0.00033428,0.0863036,,0.00033428,1.35965
0.00033528,0.0859845,,0.00033528,1.35621
0.00033628,0.085662,,0.00033628,1.35272
0.00033728,0.0853362,,0.00033728,1.34917
0.00033828,0.0850069,,0.00033828,1.34558
0.00033928,0.0846743,,0.00033928,1.34194
0.00034028,0.0843384,,0.00034028,1.33825
0.00034128,0.0839991,,0.00034128,1.33451
0.00034228,0.0836565,,0.00034228,1.33072
0.00034328,0.0833107,,0.00034328,1.32688
0.00034428,0.0829615,,0.00034428,1.32298
0.00034528,0.082609,,0.00034528,1.31904
0.00034628,0.0822533,,0.00034628,1.31505
0.00034728,0.0818944,,0.00034728,1.311
0.00034828,0.0815322,,0.00034828,1.3069
0.00034928,0.0811668,,0.00034928,1.30275
0.00035028,0.0807982,,0.00035028,1.29855
0.00035128,0.0804264,,0.00035128,1.2943
0.00035228,0.0800514,,0.00035228,1.28999
0.00035328,0.0796732,,0.00035328,1.28563
0.00035428,0.079292,,0.00035428,1.28122
0.00035528,0.0789076,,0.00035528,1.27675
0.00035628,0.07852,,0.00035628,1.27223
0.00035728,0.0781294,,0.00035728,1.26765
0.00035828,0.0777357,,0.00035828,1.26303
0.00035928,0.0773389,,0.00035928,1.25834
0.00036028,0.0769391,,0.00036028,1.25361
0.00036128,0.0765362,,0.00036128,1.24881
0.00036228,0.0761303,,0.00036228,1.24397
0.00036328,0.0757214,,0.00036328,1.23907
0.00036428,0.0753095,,0.00036428,1.23411
0.00036528,0.0748946,,0.00036528,1.22909
0.00036628,0.0744768,,0.00036628,1.22402
0.00036728,0.0740561,,0.00036728,1.2189
0.00036828,0.0736324,,0.00036828,1.21372
0.00036928,0.0732058,,0.00036928,1.20848
0.00037028,0.0727763,,0.00037028,1.20318
0.00037128,0.072344,,0.00037128,1.19783
0.00037228,0.0719088,,0.00037228,1.19242
0.00037328,0.0714707,,0.00037328,1.18695
0.00037428,0.0710298,,0.00037428,1.18143
0.00037528,0.0705862,,0.00037528,1.17584
0.00037628,0.0701397,,0.00037628,1.1702
0.00037728,0.0696905,,0.00037728,1.1645
0.00037828,0.0692385,,0.00037828,1.15874
0.00037928,0.0687838,,0.00037928,1.15293
0.00038028,0.0683264,,0.00038028,1.14705
0.00038128,0.0678662,,0.00038128,1.14111
0.00038228,0.0674034,,0.00038228,1.13512
0.00038328,0.066938,,0.00038328,1.12907
0.00038428,0.0664699,,0.00038428,1.12295
0.00038528,0.0659991,,0.00038528,1.11678
0.00038628,0.0655258,,0.00038628,1.11054
0.00038728,0.0650499,,0.00038728,1.10425
0.00038828,0.0645714,,0.00038828,1.0979
0.00038928,0.0640903,,0.00038928,1.09148
0.00039028,0.0636067,,0.00039028,1.08501
0.00039128,0.0631207,,0.00039128,1.07847
0.00039228,0.0626321,,0.00039228,1.07187
0.00039328,0.062141,,0.00039328,1.06521
0.00039428,0.0616475,,0.00039428,1.05849
0.00039528,0.0611516,,0.00039528,1.05171
0.00039628,0.0606532,,0.00039628,1.04487
0.00039728,0.0601525,,0.00039728,1.03796
0.00039828,0.0596494,,0.00039828,1.031
0.00039928,0.0591439,,0.00039928,1.02397
0.00040028,0.0586361,,0.00040028,1.01688
0.00040128,0.058126,,0.00040128,1.00973
0.00040228,0.0576136,,0.00040228,1.00251
0.00040328,0.0570989,,0.00040328,0.995231
0.00040428,0.0565819,,0.00040428,0.987891
0.00040528,0.0560627,,0.00040528,0.980487
0.00040628,0.0555413,,0.00040628,0.973021
0.00040728,0.0550178,,0.00040728,0.965492
0.00040828,0.054492,,0.00040828,0.9579
0.00040928,0.0539641,,0.00040928,0.950245
0.00041028,0.0534341,,0.00041028,0.942527
0.00041128,0.0529019,,0.00041128,0.934745
0.00041228,0.0523677,,0.00041228,0.9269
0.00041328,0.0518314,,0.00041328,0.918992
0.00041428,0.051293,,0.00041428,0.911021
0.00041528,0.0507526,,0.00041528,0.902986
0.00041628,0.0502103,,0.00041628,0.894887
0.00041728,0.0496659,,0.00041728,0.886725
0.00041828,0.0491196,,0.00041828,0.878499
0.00041928,0.0485713,,0.00041928,0.87021
0.00042028,0.0480211,,0.00042028,0.861857
